publication,year,endorsed,source,source2,notes
Akron Beacon Journal,1980,Carter,http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Akron Beacon Journal,1984,Mondale,http://www.upi.com/Archives/1984/10/29/Reagan-Mondale-endorsed-by-newspapers-a-cross-country/1780467874000/,,
Akron Beacon Journal,1988,Bush,http://www.upi.com/Archives/1988/10/31/Endorsements-show-distaste-for-88-campaign/8214594277200/,,
Akron Beacon Journal,1992,Clinton,"""Clinton for president."" Akron Beacon Journal. Oct 25, 1992. p. C2.",,"Provided by Norma Hill, Akron Beacon Journal Librarian"
Akron Beacon Journal,1996,Clinton,http://lasvegassun.com/news/1996/oct/28/midwest-south-papers-like-dole/,,
Akron Beacon Journal,2000,Gore,https://www.gwu.edu/~action/natendorse5.html,,
Akron Beacon Journal,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Akron Beacon Journal,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Akron Beacon Journal,2012,Obama,http://www.ohio.com/editorial/editorials/obama-for-president-1.343675,,
Akron Beacon Journal,2016,Clinton,http://www.ohio.com/editorial/editorials/hillary-clinton-for-president-1.714360,,
Albany Times Union,1980,Reagan,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Albany Times Union,1984,Reagan,"Associated Press. Nov 4, 1984.",,
Albany Times Union,1988,Bush,"""Bush for President."" Albany Times Union. Nov 6, 1988. p. H4.",,
Albany Times Union,1992,Clinton,"""Clinton for president."" Albany Times Union. Nov 1, 1992. p. E4.",,
Albany Times Union,1996,Clinton,"""Clinton for president."" Albany Times Union. Nov 3, 1996. p. E4.",,
Albany Times Union,2000,Gore,https://www2.gwu.edu/~action/natendorse5.html,,
Albany Times Union,2004,Kerry,https://www2.gwu.edu/~action/2004/cands/natendorse5.html,,
Albany Times Union,2008,Obama,https://www2.gwu.edu/~action/2008/media08/endorsements/endorse08newspgen.html,,
Albany Times Union,2012,Obama,http://blog.timesunion.com/opinion/for-president-barack-obama/22710/,,
Albany Times Union,2016,Clinton,http://www.timesunion.com/tuplus-opinion/article/Editorial-President-Hillary-Clinton-10422449.php,,
Albuquerque Journal,1980,Reagan,http://www.upi.com/Archives/1980/10/27/With-the-presidential-campaign-heading-into-its-final-week/2612341470800/,,
Albuquerque Journal,1984,Reagan,http://www.upi.com/Archives/1984/10/29/Reagan-Mondale-endorsed-by-newspapers-a-cross-country/1780467874000/,,
Albuquerque Journal,1988,Bush,http://www.apnewsarchive.com/1988/Editorial-Boards-Uninspired-By-Campaign-Candidates-With-AM-Election-Rdp-Bjt/id-53c278a35016d6234f251acda6ff95c0,,
Albuquerque Journal,1992,Bush,http://www.nytimes.com/1992/10/26/us/the-1992-campaign-more-newspapers-endorse.html,,
Albuquerque Journal,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Albuquerque Journal,2000,Bush,https://www.gwu.edu/~action/natendorse5.html,,
Albuquerque Journal,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Albuquerque Journal,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Albuquerque Journal,2012,Romney,https://www.abqjournal.com/143630/mitt-romney-is-best-to-fix-us-direction.html,,
Albuquerque Journal,2016,None,https://www.abqjournal.com/878277/editorial-no-good-choice-for-president-2.html,,
Allentown Morning Call,1980,Unknown,,,
Allentown Morning Call,1984,Unknown,,,
Allentown Morning Call,1988,Bush,http://articles.mcall.com/1988-11-06/news/2665129_1_president-dukakis-ideology-competence,,
Allentown Morning Call,1992,Clinton,http://articles.mcall.com/1992-10-25/news/2890548_1_gains-taxes-and-tax-foreign-companies-doing-business-deficit,,
Allentown Morning Call,1996,Clinton,"""Clinton is reluctant choice."" Allentown Morning Call. Oct 27, 1996. p. A10.",,
Allentown Morning Call,2000,Bush,http://articles.latimes.com/2004/oct/29/nation/na-endorse29,,
Allentown Morning Call,2004,Kerry,http://articles.latimes.com/2004/oct/29/nation/na-endorse29,,
Allentown Morning Call,2008,None,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Allentown Morning Call,2012,None,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Allentown Morning Call,2016,Unknown,,,
Arizona Daily Star,1980,Carter,,,Provided by the Pima County Public Library
Arizona Daily Star,1984,Mondale,,,Provided by the Pima County Public Library
Arizona Daily Star,1988,Unknown,,,"Pima County Public Library had no record of an endorsement, may not have made one"
Arizona Daily Star,1992,Clinton,"Email from Sarah Gassen, Arizona Daily Star Opinion Writer",,
Arizona Daily Star,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Arizona Daily Star,2000,Gore,https://www.gwu.edu/~action/natendorse5.html,,
Arizona Daily Star,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Arizona Daily Star,2008,Obama,http://tucson.com/news/opinion/editorial/barack-obama-for-president/article_6b0e2851-e98a-5808-a115-2c11b796eea6.html,,
Arizona Daily Star,2012,Obama,http://tucson.com/news/opinion/editorial/presidential-endorsement-obama-s-agenda-gives-steady-hand-to-economic/article_394bec21-7e03-5513-aec1-0a0bbae322d0.html,,
Arizona Daily Star,2016,None,http://tucson.com/news/opinion/editorial/arizona-daily-star-election-endorsements/collection_a86e1318-90ae-11e6-988d-d74159ebeb98.html,,
Arizona Republic,1980,Reagan,http://www.azcentral.com/picture-gallery/opinion/editorial/2016/09/07/arizona-republic-presidential-endorsements-120-years-no-democrats/89982938/,,
Arizona Republic,1984,Reagan,http://www.azcentral.com/picture-gallery/opinion/editorial/2016/09/07/arizona-republic-presidential-endorsements-120-years-no-democrats/89982938/,,
Arizona Republic,1988,Reagan,http://www.azcentral.com/picture-gallery/opinion/editorial/2016/09/07/arizona-republic-presidential-endorsements-120-years-no-democrats/89982938/,,
Arizona Republic,1992,Bush,http://www.azcentral.com/picture-gallery/opinion/editorial/2016/09/07/arizona-republic-presidential-endorsements-120-years-no-democrats/89982938/,,
